,PPI
CAMK2G*RAF1,529
CAMK2D*MARK3,904
CAMK2D*SRPK1,407
CAMK2D*MAP2K1,606
CAMK2D*MAP2K2,607
CAMK2D*JAK1,902
CAMK2D*JAK2,903
CAMK2D*SRC,580
CAMK2D*ARAF,518
CAMK2D*BRAF,512
CAMK2D*KSR1,907
CAMK2D*RAF1,512
CAMK2D*RIPK3,804
BRSK2*STK11,932
BRSK2*PKD1,551
BRSK2*CDK16,447
BRSK2*CDK18,404
BRSK2*HIPK4,415
BRSK2*CAMKK2,505
BRSK2*CAMKK1,468
BRSK2*PLK1,412
BRSK2*PKMYT1,800
BRSK2*WEE1,753
BRSK2*WEE2,614
BRSK1*STK11,929
